Schema,Table Name,Row count,Used Space in MB,,Total Space in MB,Partition Field,Note
dbo,DS2IndexDataType,432461,10.54,0.03,10.57,,
dbo,SDDates_v,412718,10.12,0.19,10.3,,
dbo,RKDPITFndCmpRefIss,102502,9.34,0.05,9.39,,
dbo,DS2EquityIndex,111742,7.49,0.19,7.68,,
dbo,DS2ISINChg,108447,6.49,0.08,6.57,,
dbo,RKDPITFndCmpRef,81222,6.15,0.06,6.21,,
dbo,PermCode,111675,5.25,0.59,5.84,,
dbo,RKDFndCRASPrCurr,87840,4.34,0.14,4.48,,
prc,IdxSec,33261,4.17,0.27,4.45,,
dbo,RDCDesc,66887,3.63,0.08,3.7,,
dbo,IBDAnl,70989,3.48,0.12,3.59,,
dbo,TREActGoFwd,21349,2.8,0.13,2.92,,
dbo,RKDFndDesc,35138,2.2,0.17,2.38,,
dbo,IdxInfo,11173,0.81,1.2,2.02,,
dbo,SDExchInfo_v,1815,0.45,1.52,1.96,,
dbo,SDDates,42285,0.89,0.87,1.76,,
dbo,DS2FXCode,2454,0.21,1.2,1.41,,
dbo,TREActRst,12933,1.14,0.08,1.22,,
dbo,RKDFndCode,28698,0.85,0.29,1.14,,
dbo,DS2XRef,9817,0.35,0.73,1.09,,
dbo,MSsnapshotdeliveryprogress,0,0.73,0.23,0.96,,
dbo,TRECode,2819,0.13,0.64,0.77,,
dbo,RDCCode,4502,0.18,0.52,0.7,,
dbo,PrcCode2,2412,0.15,0.3,0.45,,
dbo,AdjFctr,4884,0.27,0.15,0.41,,
dbo,MSreplication_subscriptions,1,0.16,0.1,0.27,,
dbo,RKDFndCSFItem,1179,0.1,0.1,0.2,,
dbo,RKDFndStdItem,1104,0.09,0.1,0.2,,
dbo,DS2DataType,704,0.09,0.07,0.16,,
dbo,DS2Exchange,319,0.05,0.1,0.16,,
dbo,DS2Region,427,0.05,0.09,0.14,,
dbo,IdxRlClsCode,237,0.04,0.1,0.14,,
dbo,MSreplication_objects,408,0.11,0.03,0.14,,
dbo,MSsubscription_agents,1,0.03,0.11,0.14,,
dbo,SDInfo,285,0.04,0.1,0.14,,
dbo,SPGCode,789,0.06,0.08,0.14,,
dbo,UPDPrimStatus,868,0.05,0.09,0.14,,
dbo,PrcTxtCode,633,0.05,0.09,0.13,,
dbo,SDInfo_v,1106,0.07,0.06,0.13,,
dbo,TMCCode,306,0.03,0.1,0.13,,
dbo,canary_table,1,0.04,0.05,0.09,,
dbo,SecVenType,56,0.02,0.05,0.08,,
dbo,TMCRegnCntryMap,240,0.02,0.05,0.08,,
dbo,TQAExch,3,0.02,0.05,0.08,,
dbo,RKDFndBGSegItem,53,0.02,0.05,0.07,,
dbo,UPDPrimCode,10,0.02,0.05,0.07,,
dbo,TREOrgNotesAper,0,0,0,0,,
dbo,TREOrgNotesHzn,0,0,0,0,,
dbo,TRESumHzn,0,0,0,0,,
